date,slight,serious,total_vehicle_num,most_collision
2017-11-14T01:00Z,72,10,16140,bromley collision
2017-11-15T01:00Z,79,14,138833,hackney collision
2017-11-16T01:00Z,73,11,81854,haringey collision
2017-11-17T01:00Z,100,16,146543,greenwich collision
2017-11-18T01:00Z,100,11,41482,croydon collision
2017-11-19T01:00Z,70,7,217636,hounslow collision
2017-11-20T01:00Z,75,4,50372,tower hamlets collision
2017-11-21T01:00Z,63,11,99980,havering collision
2017-11-22T01:00Z,82,16,105936,southwark collision
2017-11-23T01:00Z,86,18,72180,lambeth collision
2017-11-24T01:00Z,78,12,1119,waltham forest collision
2017-11-25T01:00Z,101,11,64467,croydon collision
2017-11-26T01:00Z,74,6,43242,hammersmith and fulham collision
2017-11-27T01:00Z,98,11,67546,redbridge collision
2017-11-28T01:00Z,82,9,84858,barnet collision
2017-11-29T01:00Z,87,11,186891,merton collision
2017-11-30T01:00Z,83,8,288591,brent collision
2017-12-01T01:00Z,110,9,3586,camden collision
2017-12-02T01:00Z,75,8,6976,southwark collision
2017-12-03T01:00Z,58,4,32033,ealing collision
2017-12-04T01:00Z,73,11,48251,enfield collision
2017-12-05T01:00Z,92,14,200839,lambeth collision
2017-12-06T01:00Z,87,14,43978,tower hamlets collision
2017-12-07T01:00Z,103,14,24134,wandsworth collision
2017-12-08T01:00Z,83,13,176722,lambeth collision
2017-12-09T01:00Z,94,7,32150,enfield collision
2017-12-10T01:00Z,58,2,215551,greenwich collision
2017-12-11T01:00Z,69,8,100125,hackney collision
2017-12-12T01:00Z,90,15,58049,barnet collision
2017-12-13T01:00Z,89,6,52334,barnet collision
2017-12-14T01:00Z,96,12,228550,croydon collision
2017-12-15T01:00Z,99,16,196523,haringey collision
2017-12-16T01:00Z,77,10,450784,lambeth collision
2017-12-17T01:00Z,67,10,148222,lambeth collision
2017-12-18T01:00Z,104,11,285547,redbridge collision
2017-12-19T01:00Z,76,9,1052247,brent collision
2017-12-20T01:00Z,66,9,141911,lewisham collision
2017-12-21T01:00Z,68,13,28058,hounslow collision
2017-12-22T01:00Z,75,14,337907,havering collision
2017-12-23T01:00Z,47,5,423714,barnet collision
2017-12-24T01:00Z,48,4,542714,lambeth collision
2017-12-25T01:00Z,28,6,617462,barnet collision
2017-12-26T01:00Z,69,3,65448,tower hamlets collision
2017-12-27T01:00Z,59,5,91723,barnet collision
2017-12-28T01:00Z,50,9,465878,brent collision
2017-12-29T01:00Z,49,2,3522,brent collision
2017-12-30T01:00Z,68,9,85031,barking and dagenham collision
2017-12-31T01:00Z,47,3,43685,lambeth collision
2018-01-01T01:00Z,55,13,149700,hackney collision
2018-01-02T01:00Z,50,6,24036,barnet collision
2018-01-03T01:00Z,49,8,129084,barnet collision
2018-01-04T01:00Z,58,7,57592,wandsworth collision
2018-01-05T01:00Z,61,8,102746,ealing collision
2018-01-06T01:00Z,56,13,213568,enfield collision
2018-01-07T01:00Z,46,7,351931,lambeth collision
2018-01-08T01:00Z,66,7,33297,havering collision
2018-01-09T01:00Z,75,12,290887,lambeth collision
2018-01-10T01:00Z,68,12,289934,wandsworth collision
2018-01-11T01:00Z,69,8,40097,croydon collision
2018-01-12T01:00Z,73,18,203836,greenwich collision
2018-01-13T01:00Z,54,9,112561,tower hamlets collision
2018-01-14T01:00Z,66,10,108408,haringey collision
2018-01-15T01:00Z,69,8,329258,tower hamlets collision
2018-01-16T01:00Z,84,10,436870,bexley collision
2018-01-17T01:00Z,83,8,291758,haringey collision
2018-01-18T01:00Z,93,7,57424,croydon collision
2018-01-19T01:00Z,98,7,69637,redbridge collision
2018-01-20T01:00Z,88,8,402731,southwark collision
2018-01-21T01:00Z,51,9,93316,barking and dagenham collision
2018-01-22T01:00Z,72,7,4808,barnet collision
2018-01-23T01:00Z,72,11,34202,newham collision
2018-01-24T01:00Z,90,10,140109,tower hamlets collision
2018-01-25T01:00Z,85,12,35096,greenwich collision
2018-01-26T01:00Z,69,20,3809,tower hamlets collision
2018-01-27T01:00Z,68,6,146637,lambeth collision
2018-01-28T01:00Z,56,10,5964,barnet collision
2018-01-29T01:00Z,81,5,11595,brent collision
2018-01-30T01:00Z,69,8,747372,tower hamlets collision
2018-01-31T01:00Z,90,4,64496,tower hamlets collision
