date,slight,serious,total_casualties
2018-12-21,79,13,92
2018-12-22,73,8,81
2018-12-23,54,7,61
2018-12-24,63,6,69
2018-12-25,28,9,37
2018-12-26,34,5,39
2018-12-27,57,3,60
2018-12-28,42,11,53
2018-12-29,45,10,55
2018-12-30,57,4,61
2018-12-31,62,11,73
2019-01-01,52,8,60
2019-01-02,48,4,52
2019-01-03,52,8,60
2019-01-04,49,7,56
2019-01-05,44,11,55
2019-01-06,32,4,36
2019-01-07,61,6,67
2019-01-08,56,13,69
2019-01-09,73,12,85
2019-01-10,74,18,92
2019-01-11,69,9,78
2019-01-12,56,9,65
2019-01-13,31,4,35
2019-01-14,47,13,60
2019-01-15,47,11,58
2019-01-16,71,13,84
2019-01-17,86,2,88
2019-01-18,79,10,89
2019-01-19,56,7,63
2019-01-20,54,10,64
2019-01-21,67,7,74
2019-01-22,88,8,96
2019-01-23,93,17,110
2019-01-24,78,6,84
2019-01-25,65,15,80
2019-01-26,67,7,74
2019-01-27,35,11,46
2019-01-28,79,16,95
2019-01-29,75,14,89
2019-01-30,85,15,100
2019-01-31,56,10,66
2019-02-01,74,14,88
2019-02-02,79,12,91
2019-02-03,86,14,100
2019-02-04,64,7,71
2019-02-05,69,14,83
2019-02-06,58,12,70
2019-02-07,51,9,60
2019-02-08,70,8,78
2019-02-09,67,13,80
2019-02-10,67,5,72
2019-02-11,58,11,69
2019-02-12,53,10,63
2019-02-13,68,14,82
2019-02-14,96,12,108
2019-02-15,76,12,88
2019-02-16,68,4,72
2019-02-17,63,8,71
2019-02-18,77,6,83
2019-02-19,76,14,90
2019-02-20,74,4,78
2019-02-21,64,17,81
2019-02-22,67,13,80
2019-02-23,69,16,85
2019-02-24,62,13,75
2019-02-25,73,13,86
2019-02-26,75,13,88
2019-02-27,75,12,87
2019-02-28,64,8,72
2019-03-01,54,11,65
2019-03-02,73,8,81
2019-03-03,42,12,54
2019-03-04,66,14,80
2019-03-05,69,16,85
2019-03-06,72,12,84
2019-03-07,68,12,80
2019-03-08,81,11,92
2019-03-09,52,15,67
2019-03-10,44,5,49
2019-03-11,73,6,79
2019-03-12,77,11,88
2019-03-13,70,8,78
2019-03-14,61,9,70
2019-03-15,80,9,89
2019-03-16,57,6,63
2019-03-17,63,9,72
2019-03-18,57,13,70
2019-03-19,49,12,61
2019-03-20,72,14,86
2019-03-21,58,11,69
2019-03-22,65,11,76
2019-03-23,74,10,84
2019-03-24,56,7,63
2019-03-25,73,11,84
2019-03-26,75,15,90
2019-03-27,57,9,66
2019-03-28,59,8,67
2019-03-29,99,21,120
2019-03-30,81,13,94
2019-03-31,73,12,85
2019-04-01,87,10,97
2019-04-02,85,5,90
2019-04-03,74,10,84
2019-04-04,83,10,93
2019-04-05,65,9,74
