date,slight,serious,total_vehicle_num
2022-06-20,648,48,456089.0
2022-06-27,324,24,308747.0
2022-06-28,204,48,73168.0
2022-06-29,288,72,713376.0
2022-06-30,120,24,2909.0
2022-07-01,408,0,235090.0
2022-07-04,396,36,208331.0
2022-07-05,408,48,491777.0
2022-07-06,240,60,596916.0
2022-07-07,432,24,84596.0
2022-07-08,624,0,1071572.0
2022-07-11,480,0,466693.0
2022-07-12,120,0,94142.0
2022-07-13,384,48,686278.0
2022-07-14,720,96,1129779.0
2022-07-15,72,0,61442.0
2022-07-21,96,24,61580.0
2022-09-07,96,24,49510.0
2022-09-08,576,48,233180.0
2022-09-09,144,72,314380.0
2022-09-12,384,48,184388.0
2022-09-13,288,24,403627.0
2022-09-14,96,0,47861.0
2022-09-16,24,0,986.0
2022-09-20,96,48,572096.0
2022-09-21,360,96,172970.0
2022-09-22,504,48,729636.0
2022-09-23,888,96,1055800.0
2022-09-26,288,24,115555.0
2022-09-27,384,48,595737.0
2022-09-28,552,96,1030626.0
2022-09-29,504,96,207062.0
2022-09-30,528,120,761903.0
2022-10-03,264,24,37818.0
2022-10-04,528,144,332728.0
2022-10-05,24,0,138.0
2022-10-07,312,24,510101.0
2022-10-10,120,24,184481.0
2022-10-11,312,72,433103.0
2022-10-12,48,24,59617.0
2022-10-13,408,72,100019.0
2022-10-14,336,0,110383.0
2022-10-17,96,0,58836.0
2022-10-18,72,24,68872.0
2022-10-19,96,24,165890.0
