date,slight,serious,Barking and Dagenham collision,Barnet collision,Bexley collision,Brent collision,Bromley collision,Camden collision,City of London collision,Croydon collision,Ealing collision,Enfield collision,Greenwich collision,Hackney collision,Hammersmith and Fulham collision,Haringey collision,Harrow collision,Havering collision,Hillingdon collision,Hounslow collision,Islington collision,Kensington an Chelsea collision,Kingston upon thames collision,Lambeth collision,Lewisham collision,Merton collision,Newham collision,Redbridge collision,Richmond upon thames collision,Southwark collision,Sutton collision,Tower Hamlets collision,Waltham Forest collision,Wandsworth collision,Westminster collision
13/05/2017,82,8,3,3,0,3,4,3,0,4,6,9,9,1,0,1,1,1,1,3,2,4,5,2,2,1,3,5,1,2,1,4,2,1,3
14/05/2017,53,7,0,5,0,1,0,2,2,1,1,4,3,3,4,5,2,0,1,3,0,1,0,6,1,1,2,0,1,1,0,3,5,2,0
15/05/2017,78,6,3,3,3,6,1,3,2,3,1,0,2,2,2,0,0,5,1,1,2,5,0,8,4,2,3,1,2,2,3,1,3,6,4
16/05/2017,101,10,3,8,3,6,2,2,1,2,3,2,5,4,2,5,2,0,1,6,3,1,0,3,3,2,0,0,3,5,3,4,3,7,17
17/05/2017,80,5,1,7,0,6,2,8,2,3,0,5,1,3,1,0,1,2,2,5,2,2,0,4,0,1,1,3,2,4,2,1,3,6,5
18/05/2017,87,11,0,7,2,10,0,2,2,6,3,4,4,2,1,7,2,2,4,2,3,0,0,8,1,1,3,2,1,5,1,7,2,1,3
19/05/2017,88,14,1,3,4,5,7,5,2,3,2,2,2,1,4,4,2,3,1,5,5,3,0,4,1,3,1,0,2,8,2,7,2,3,5
20/05/2017,66,11,1,0,4,1,1,6,2,3,2,1,2,3,0,9,4,0,3,3,2,2,0,4,1,1,2,2,0,5,0,6,0,1,6
21/05/2017,58,14,0,4,0,5,1,1,0,3,1,1,0,2,4,1,2,6,2,2,1,3,2,3,4,0,1,0,2,6,1,1,1,3,9
22/05/2017,77,9,5,3,0,3,1,1,2,2,3,0,2,5,1,11,1,2,2,4,4,4,1,2,5,2,4,2,2,5,1,2,2,1,1
23/05/2017,76,12,5,3,1,2,2,0,1,2,1,4,8,2,2,2,2,0,3,1,4,4,1,7,1,0,2,4,0,5,0,6,5,5,3
24/05/2017,86,14,3,3,2,4,4,2,1,8,7,1,3,0,3,7,0,0,2,0,6,3,0,8,2,4,2,1,1,4,2,9,1,2,5
25/05/2017,108,13,0,6,3,1,3,4,2,6,3,1,3,8,6,1,4,3,9,2,3,2,2,4,3,3,0,4,2,4,1,2,5,8,13
26/05/2017,99,19,1,6,2,7,7,3,2,4,4,3,5,2,3,4,0,2,1,3,2,7,0,4,3,4,3,4,5,8,4,6,1,6,2
