date,slight,serious,barking and dagenham collision,barnet collision,bexley collision,brent collision,bromley collision,camden collision,city of london collision,croydon collision,ealing collision,enfield collision,greenwich collision,hackney collision,hammersmith and fulham collision,haringey collision,harrow collision,havering collision,hillingdon collision,hounslow collision,islington collision,kensington an chelsea collision,kingston upon thames collision,lambeth collision,lewisham collision,merton collision,newham collision,redbridge collision,richmond upon thames collision,southwark collision,sutton collision,tower hamlets collision,waltham forest collision,wandsworth collision,westminster collision,all counted vehicles,barking and dagenham,barnet,bexley,brent,bromley,camden,city of london,croydon,ealing,enfield,greenwich,hackney,hammersmith and fulham,haringey,harrow,havering,hillingdon,hounslow,islington,kensington and chelsea,kingston upon thames,lambeth,lewisham,merton,newham,redbridge,richmond upon thames,southwark,sutton,tower hamlets,waltham forest,wandsworth,westminster
25/05/2017,108,13,0,6,3,1,3,4,2,6,3,1,3,8,6,1,4,3,9,2,3,2,2,4,3,3,0,4,2,4,1,2,5,8,13,214873,17033,0,0,12096,0,0,0,0,0,0,0,0,0,137,0,0,0,72699,0,0,0,0,0,27409,85252,0,0,0,0,0,0,0,247
26/05/2017,99,19,1,6,2,7,7,3,2,4,4,3,5,2,3,4,0,2,1,3,2,7,0,4,3,4,3,4,5,8,4,6,1,6,2,255191,0,0,60508,0,0,0,0,0,717,0,0,0,56405,0,0,0,2363,0,0,0,0,0,0,0,0,118563,0,0,80,0,0,16555,0
05/06/2017,70,6,4,8,2,1,2,1,0,0,3,3,1,1,7,0,4,1,2,2,3,3,0,4,0,0,4,1,1,3,1,9,1,3,1,87894,0,0,0,28042,0,0,0,0,25324,0,0,0,0,11859,0,0,0,0,0,8489,5410,8770,0,0,0,0,0,0,0,0,0,0,0
06/06/2017,88,10,3,2,0,5,3,3,1,4,4,3,4,1,0,8,0,2,3,8,5,4,1,5,4,1,2,5,2,1,2,0,2,5,5,47460,0,0,0,6033,0,0,0,29463,0,0,0,0,10298,0,0,0,1666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/06/2017,83,19,1,0,3,2,7,6,0,3,2,2,1,3,6,4,1,1,1,0,7,4,1,5,4,4,8,4,0,2,2,3,1,9,5,62520,0,28799,0,2246,0,0,0,0,0,0,0,0,0,0,0,22696,0,0,0,0,0,0,8779,0,0,0,0,0,0,0,0,0,0
08/06/2017,83,9,3,6,1,2,5,5,1,2,9,0,4,6,1,1,1,2,2,1,1,2,1,1,2,0,5,2,0,6,4,3,2,6,5,72236,0,0,0,0,0,0,0,0,0,0,0,16611,0,0,11577,0,41312,2736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/06/2017,78,13,3,1,1,0,2,1,1,3,6,4,2,1,8,5,1,2,4,4,3,4,2,5,2,0,3,1,0,5,2,4,2,2,7,232186,0,0,0,0,0,0,0,0,0,0,11453,0,0,0,14761,0,7841,0,0,10275,51713,0,11628,4101,0,0,0,0,0,0,99832,20582,0
12/06/2017,90,9,3,6,5,3,1,2,2,1,3,7,9,3,1,2,6,5,0,2,2,2,2,2,4,3,2,9,2,0,3,1,0,1,5,191809,0,0,19174,0,22788,0,0,0,16927,0,378,0,0,26851,0,105691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/06/2017,80,8,2,1,3,3,2,4,0,4,0,4,2,2,2,2,1,1,1,3,0,2,1,7,2,2,3,2,1,1,1,6,8,9,6,140572,0,26920,0,0,0,0,0,0,70085,0,0,0,0,0,0,0,7261,0,0,0,0,0,506,0,0,0,0,18307,17493,0,0,0,0
14/06/2017,90,9,1,4,4,3,2,3,0,1,2,8,1,2,1,5,0,0,7,1,4,2,2,7,4,1,1,2,4,2,4,5,2,4,10,37208,0,0,0,0,0,0,0,0,0,22121,0,0,0,0,0,286,0,13735,0,0,0,0,106,0,0,0,0,0,0,0,0,960,0
